ID  MINE    VEL   DIFF   DUR    GROUP_ID
208  Fixation   7.1   -1.5  400.0  12
209  Fixation   8.0   0.9  400.0  12
210  Fixation   0.0   -8.0  400.0  12
211  Fixation   2.3   2.3  400.0  12
212  Fixation   4.4   2.1  400.0  12
213  Fixation   6.2   1.8  400.0  12
214  Fixation   0.2   -6.1  400.0  12
215  Saccade   190.0   189.8  117.0  12
216  Saccade   253.8   63.8  117.0  12
217  Saccade   288.1   34.2  117.0  12
218  Saccade   350.7   62.6  117.0  12
219  Saccade   332.3   -18.4  117.0  12
220  Saccade   233.9   -98.4  117.0  12
221  Saccade   37.3   -196.6  117.0  12
222  Fixation   2.4   -35.0  250.0  13
223  Fixation   6.4   4.1  250.0  13
224  Fixation   6.1   -0.3  250.0  13
225  Fixation   2.5   -3.6  250.0  13
226  Fixation   7.8   5.3  250.0  13
227  Fixation   1.9   -5.9  250.0  13
228  Fixation   13.0   11.0  250.0  13
229  Fixation   6.1   -6.9  250.0  13
230  Fixation   19.4   13.3  250.0  13
231  Fixation   8.7   -10.7  250.0  13
232  Fixation   17.2   8.4  250.0  13
233  Fixation   13.3   -3.9  250.0  13
234  Fixation   9.0   -4.3  250.0  13
235  Fixation   0.8   -8.2  250.0  13
236  Fixation   2.7   1.9  250.0  13
237  Saccade   308.9   306.2  66.0  13
238  Saccade   280.0   -28.9  66.0  13
239  Saccade   231.0   -49.0  66.0  13
240  Saccade   97.1   -133.9  66.0  13
241  Fixation   4.6   -92.5  300.0  14
242  Fixation   5.4   0.8  300.0  14
243  Fixation   1.0   -4.4  300.0  14
244  Fixation   4.9   3.9  300.0  14
245  Fixation   3.1   -1.8  300.0  14
246  Fixation   3.0   -0.1  300.0  14
247  Fixation   2.1   -0.9  300.0  14
248  Fixation   4.8   2.7  300.0  14
249  Fixation   8.8   3.9  300.0  14
250  Fixation   4.1   -4.7  300.0  14
251  Fixation   8.5   4.4  300.0  14
252  Fixation   7.6   -0.8  300.0  14
253  Fixation   7.6   -0.0  300.0  14
254  Fixation   15.7   8.1  300.0  14
255  Fixation   1.3   -14.4  300.0  14
256  Fixation   0.3   -1.1  300.0  14
257  Fixation   2.5   2.3  300.0  14
258  Fixation   4.4   1.8  300.0  14
259  Saccade   82.8   78.4  34.0  14
260  Saccade   91.8   9.0  34.0  14
261  Fixation   13.0   -78.8  183.0  15
262  Fixation   1.9   -11.2  183.0  15
