ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
225  Fixation  Fixation  3.7   -3.6  2234.0  6
226  Fixation  Fixation  2.2   -1.5  2234.0  6
227  Fixation  Fixation  9.7   7.6  2234.0  6
228  Fixation  Fixation  12.6   2.9  2234.0  6
229  Fixation  Fixation  2.6   -10.0  2234.0  6
230  Fixation  Fixation  9.2   6.7  2234.0  6
231  Fixation  Fixation  5.4   -3.8  2234.0  6
232  Fixation  Fixation  10.9   5.5  2234.0  6
233  Fixation  Fixation  21.2   10.2  2234.0  6
234  Fixation  Fixation  15.2   -5.9  2234.0  6
235  Fixation  Fixation  8.6   -6.6  2234.0  6
236  Fixation  Fixation  12.8   4.2  2234.0  6
237  Fixation  Fixation  8.8   -4.0  2234.0  6
238  Fixation  Fixation  10.8   2.0  2234.0  6
239  Fixation  Fixation  18.6   7.8  2234.0  6
240  Fixation  Fixation  27.3   8.6  2234.0  6
241  Fixation  Fixation  21.3   -6.0  2234.0  6
242  Fixation  Fixation  4.3   -16.9  2234.0  6
243  Fixation  Fixation  9.3   4.9  2234.0  6
244  Fixation  Fixation  13.7   4.4  2234.0  6
245  Fixation  Fixation  2.1   -11.6  2234.0  6
246  Fixation  Fixation  15.6   13.5  2234.0  6
247  Fixation  Fixation  10.4   -5.2  2234.0  6
248  Fixation  Fixation  11.4   0.9  2234.0  6
249  Fixation  Fixation  7.9   -3.4  2234.0  6
250  Fixation  Fixation  2.1   -5.9  2234.0  6
251  Fixation  Fixation  8.5   6.4  2234.0  6
252  Fixation  Fixation  8.9   0.4  2234.0  6
253  Fixation  Fixation  20.4   11.6  2234.0  6
254  Fixation  Fixation  11.7   -8.7  2234.0  6
255  Fixation  Fixation  16.5   4.8  2234.0  6
256  Fixation  Fixation  23.3   6.8  2234.0  6
257  Fixation  Fixation  2.9   -20.4  2234.0  6
258  Fixation  Fixation  13.2   10.3  2234.0  6
259  Fixation  Fixation  5.4   -7.8  2234.0  6
260  Fixation  Fixation  4.2   -1.2  2234.0  6
261  Fixation  Fixation  6.3   2.1  2234.0  6
262  Fixation  Fixation  12.9   6.6  2234.0  6
263  Fixation  Fixation  11.2   -1.7  2234.0  6
