ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
228  Fixation  Fixation  2.8   1.8  2234.0  6
229  Fixation  Fixation  0.3   -2.6  2234.0  6
230  Fixation  Fixation  3.6   3.4  2234.0  6
231  Fixation  Fixation  2.0   -1.6  2234.0  6
232  Fixation  Fixation  0.7   -1.4  2234.0  6
233  Fixation  Fixation  5.3   4.6  2234.0  6
234  Fixation  Fixation  0.8   -4.5  2234.0  6
235  Fixation  Fixation  1.4   0.6  2234.0  6
236  Fixation  Fixation  1.2   -0.2  2234.0  6
237  Fixation  Fixation  2.9   1.6  2234.0  6
238  Fixation  Fixation  0.7   -2.2  2234.0  6
239  Fixation  Fixation  7.2   6.4  2234.0  6
240  Fixation  Fixation  12.2   5.1  2234.0  6
241  Fixation  Fixation  4.1   -8.1  2234.0  6
242  Fixation  Fixation  0.4   -3.8  2234.0  6
243  Fixation  Fixation  0.2   -0.2  2234.0  6
244  Fixation  Fixation  4.4   4.2  2234.0  6
245  Fixation  Fixation  0.6   -3.8  2234.0  6
246  Fixation  Fixation  10.2   9.5  2234.0  6
247  Fixation  Fixation  0.9   -9.3  2234.0  6
248  Fixation  Fixation  2.6   1.8  2234.0  6
249  Fixation  Fixation  8.0   5.4  2234.0  6
250  Fixation  Fixation  0.4   -7.6  2234.0  6
251  Fixation  Fixation  3.9   3.5  2234.0  6
252  Fixation  Fixation  2.7   -1.3  2234.0  6
253  Fixation  Fixation  0.8   -1.9  2234.0  6
254  Fixation  Fixation  0.3   -0.5  2234.0  6
255  Fixation  Fixation  3.1   2.7  2234.0  6
256  Fixation  Fixation  5.9   2.9  2234.0  6
257  Fixation  Fixation  2.0   -3.9  2234.0  6
258  Fixation  Fixation  8.2   6.2  2234.0  6
259  Fixation  Fixation  3.7   -4.5  2234.0  6
260  Fixation  Fixation  3.1   -0.6  2234.0  6
261  Fixation  Fixation  5.4   2.3  2234.0  6
262  Fixation  Fixation  7.3   1.9  2234.0  6
263  Fixation  Fixation  6.8   -0.5  2234.0  6
264  Fixation  Fixation  19.6   12.8  2234.0  6
265  Fixation  Fixation  0.1   -19.5  2234.0  6
266  Fixation  Fixation  1.8   1.7  2234.0  6
267  Fixation  Fixation  4.9   3.1  2234.0  6
268  Fixation  Fixation  0.1   -4.7  2234.0  6
269  Fixation  Fixation  7.9   7.7  2234.0  6
270  Fixation  Fixation  3.2   -4.7  2234.0  6
271  Fixation  Fixation  2.3   -0.9  2234.0  6
272  Fixation  Fixation  5.1   2.8  2234.0  6
273  Fixation  Fixation  14.9   9.9  2234.0  6
274  Fixation  Fixation  0.2   -14.7  2234.0  6
275  Fixation  Fixation  10.2   10.0  2234.0  6
276  Fixation  Fixation  1.4   -8.9  2234.0  6
277  Fixation  Fixation  12.8   11.4  2234.0  6
278  Fixation  Fixation  4.6   -8.2  2234.0  6
279  Fixation  Fixation  1.0   -3.6  2234.0  6
280  Fixation  Fixation  0.6   -0.4  2234.0  6
281  Fixation  Fixation  3.1   2.5  2234.0  6
282  Fixation  Fixation  4.0   0.8  2234.0  6
283  Fixation  Fixation  4.2   0.3  2234.0  6
284  Fixation  Fixation  0.2   -4.1  2234.0  6
285  Fixation  Fixation  6.6   6.4  2234.0  6
286  Fixation  Fixation  0.7   -5.9  2234.0  6
287  Fixation  Fixation  2.5   1.8  2234.0  6
288  Fixation  Fixation  2.9   0.4  2234.0  6
289  Fixation  Fixation  11.4   8.5  2234.0  6
290  Fixation  Fixation  2.8   -8.6  2234.0  6
291  Fixation  Fixation  8.4   5.7  2234.0  6
292  Fixation  Fixation  3.0   -5.4  2234.0  6
293  Fixation  Fixation  1.3   -1.7  2234.0  6
294  Fixation  Fixation  5.6   4.3  2234.0  6
295  Fixation  Fixation  6.6   1.0  2234.0  6
296  Fixation  Fixation  5.6   -1.0  2234.0  6
297  Fixation  Fixation  7.0   1.5  2234.0  6
298  Fixation  Fixation  0.5   -6.5  2234.0  6
299  Fixation  Fixation  8.9   8.4  2234.0  6
300  Fixation  Fixation  2.8   -6.1  2234.0  6
301  Fixation  Fixation  2.8   -0.0  2234.0  6
302  Fixation  Fixation  2.1   -0.7  2234.0  6
303  Fixation  Fixation  2.7   0.6  2234.0  6
304  Fixation  Fixation  1.7   -1.0  2234.0  6
305  Fixation  Fixation  6.7   5.0  2234.0  6
306  Fixation  Fixation  3.4   -3.3  2234.0  6
307  Fixation  Fixation  4.7   1.3  2234.0  6
308  Fixation  Fixation  3.9   -0.8  2234.0  6
309  Fixation  Fixation  1.7   -2.2  2234.0  6
310  Fixation  Fixation  7.6   5.9  2234.0  6
311  Fixation  Fixation  6.1   -1.5  2234.0  6
312  Fixation  Fixation  11.2   5.1  2234.0  6
313  Fixation  Fixation  1.2   -10.0  2234.0  6
314  Fixation  Fixation  7.2   6.0  2234.0  6
315  Saccade  Saccade  61.1   53.9  33.0  4
316  Saccade  Saccade  30.9   -30.2  33.0  4
317  Fixation  Fixation  9.5   -21.4  117.0  7
318  Fixation  Fixation  7.4   -2.1  117.0  7
319  Fixation  Fixation  3.1   -4.3  117.0  7
320  Fixation  Fixation  7.9   4.8  117.0  7
321  Fixation  Fixation  3.3   -4.6  117.0  7
322  Fixation  Fixation  7.3   4.0  117.0  7
323  Fixation  Fixation  1.9   -5.4  117.0  7
324  Blink  Blink  1.4   -0.4  383.0  3
325  Blink  Blink  2.0   0.6  383.0  3
326  Blink  Blink  9.7   7.7  383.0  3
327  Blink  Blink  163.5   153.8  383.0  3
328  Blink  Blink  0.1   -163.4  383.0  3
329  Blink  Blink  39.1   39.0  383.0  3
330  Blink  Blink  35.9   -3.1  383.0  3
331  Blink  Blink  63.7   27.8  383.0  3
332  Blink  Blink  1.5   -62.2  383.0  3
333  Blink  Blink  33.1   31.6  383.0  3
334  Blink  Blink  21.8   -11.3  383.0  3
335  Blink  Blink  9.8   -12.0  383.0  3
336  Blink  Blink  159.8   150.0  383.0  3
337  Blink  Blink  3.1   -156.7  383.0  3
338  Blink  Blink  4.8   1.7  383.0  3
339  Blink  Blink  23.4   18.7  383.0  3
340  Blink  Blink  6.3   -17.1  383.0  3
341  Blink  Blink  6.2   -0.1  383.0  3
342  Blink  Blink  7.6   1.4  383.0  3
343  Blink  Blink  13.6   6.0  383.0  3
344  Blink  Blink  7.6   -6.0  383.0  3
345  Blink  Blink  1.4   -6.3  383.0  3
346  Blink  Blink  3.6   2.3  383.0  3
347  Fixation  Fixation  0.5   -3.2  333.0  8
348  Fixation  Fixation  17.8   17.3  333.0  8
349  Fixation  Fixation  12.8   -5.0  333.0  8
350  Fixation  Fixation  2.3   -10.5  333.0  8
351  Fixation  Fixation  7.7   5.4  333.0  8
352  Fixation  Fixation  4.7   -3.1  333.0  8
353  Fixation  Fixation  11.1   6.5  333.0  8
354  Fixation  Fixation  4.6   -6.5  333.0  8
355  Fixation  Fixation  8.0   3.5  333.0  8
356  Fixation  Fixation  2.9   -5.2  333.0  8
357  Fixation  Fixation  4.7   1.9  333.0  8
358  Fixation  Fixation  5.7   0.9  333.0  8
359  Fixation  Fixation  3.0   -2.6  333.0  8
360  Fixation  Fixation  1.7   -1.3  333.0  8
361  Fixation  Fixation  2.5   0.8  333.0  8
362  Fixation  Fixation  2.8   0.3  333.0  8
363  Fixation  Fixation  12.0   9.2  333.0  8
