ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
213  Fixation  Fixation  12.5   9.5  1267.0  5
214  Fixation  Fixation  1.3   -11.3  1267.0  5
215  Fixation  Fixation  6.9   5.6  1267.0  5
216  Fixation  Fixation  3.3   -3.6  1267.0  5
217  Fixation  Fixation  1.8   -1.5  1267.0  5
218  Fixation  Fixation  5.9   4.0  1267.0  5
219  Fixation  Fixation  0.0   -5.9  1267.0  5
220  Fixation  Fixation  17.9   17.9  1267.0  5
221  Fixation  Fixation  0.0   -17.9  1267.0  5
222  Fixation  Fixation  14.7   14.7  1267.0  5
223  Fixation  Fixation  4.6   -10.0  1267.0  5
224  Fixation  Fixation  1.6   -3.1  1267.0  5
225  Fixation  Fixation  7.3   5.7  1267.0  5
226  Fixation  Fixation  4.5   -2.8  1267.0  5
227  Fixation  Fixation  10.5   6.0  1267.0  5
228  Fixation  Fixation  1.7   -8.8  1267.0  5
229  Fixation  Fixation  3.6   2.0  1267.0  5
230  Fixation  Fixation  1.4   -2.2  1267.0  5
231  Fixation  Fixation  0.0   -1.4  1267.0  5
232  Fixation  Fixation  0.1   0.1  1267.0  5
233  Fixation  Fixation  0.1   0.0  1267.0  5
234  Fixation  Fixation  11.8   11.7  1267.0  5
235  Fixation  Fixation  1.6   -10.2  1267.0  5
236  Fixation  Fixation  4.0   2.4  1267.0  5
237  Fixation  Fixation  6.2   2.2  1267.0  5
238  Fixation  Fixation  3.3   -2.9  1267.0  5
239  Fixation  Fixation  2.6   -0.7  1267.0  5
240  Fixation  Fixation  3.2   0.7  1267.0  5
241  Fixation  Fixation  4.4   1.2  1267.0  5
242  Fixation  Fixation  2.3   -2.1  1267.0  5
243  Fixation  Fixation  2.9   0.6  1267.0  5
244  Fixation  Fixation  6.1   3.3  1267.0  5
245  Fixation  Fixation  5.7   -0.5  1267.0  5
246  Fixation  Fixation  8.1   2.5  1267.0  5
247  Fixation  Fixation  6.3   -1.8  1267.0  5
248  Fixation  Fixation  6.4   0.0  1267.0  5
249  Fixation  Fixation  3.4   -3.0  1267.0  5
250  Fixation  Fixation  5.0   1.6  1267.0  5
251  Fixation  Fixation  1.8   -3.2  1267.0  5
252  Fixation  Fixation  4.9   3.1  1267.0  5
253  Fixation  Fixation  7.0   2.1  1267.0  5
