left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye movement type
1,1,1163805293,0.57277,162.47513,48.49432,-33.26303,72.49286,685.7688,3.45241,159.33374,47.351,27.5432,78.00966,682.06128,Fixation
1,1,1163805309,-0.85142,160.6618,47.83434,-33.26722,72.48654,685.72974,3.82075,161.02388,47.96614,27.5394,78.02177,682.16473,Fixation
1,1,1163805326,2.22093,161.05653,47.97799,-33.26325,72.47879,685.72986,4.15596,161.90627,48.2873,27.53975,78.01387,682.12622,Fixation
1,1,1163805343,-1.5855,162.30457,48.43228,-33.25394,72.48659,685.77032,4.02189,161.52159,48.1473,27.54857,78.00576,682.04749,Fixation
1,1,1163805359,-0.6202,162.54411,48.51945,-33.24059,72.49799,685.78418,6.29496,161.54742,48.15669,27.55643,77.99914,681.95752,Fixation
1,1,1163805376,1.6276,160.38948,47.73518,-33.22887,72.51598,685.7854,5.19637,158.77214,47.14655,27.57155,78.01157,681.93115,Fixation
1,1,1163805393,-1.3457,159.97536,47.58449,-33.21943,72.54544,685.82422,5.19318,157.49847,46.68299,27.58655,78.02389,681.89124,Fixation
1,1,1163805409,1.37269,160.30222,47.70348,-33.20477,72.55347,685.86523,3.40907,159.86032,47.54263,27.61152,78.02477,681.9137,Fixation
1,1,1163805426,8.24898,163.1048,48.72355,-33.13313,72.5722,685.74384,10.93673,161.35321,48.08601,27.70067,78.09672,682.38269,Fixation
1,1,1163805443,7.9085,160.20735,47.66892,-33.09577,72.57462,685.52759,11.26031,156.6004,46.35612,27.71757,78.13747,682.49786,Fixation
1,1,1163805459,4.43979,161.44902,48.12088,-33.07323,72.64555,685.80389,14.08858,158.04613,46.88232,27.73085,78.24966,682.71545,Fixation
1,1,1163805476,-0.87302,150.45462,44.11921,-33.01603,72.87924,686.30438,10.21734,155.71555,46.03405,27.70693,78.38982,682.88611,Fixation
1,0,1163805493,8.66411,61.62971,11.78966,-32.98393,73.12416,686.3866,,,,,,,Fixation
0,0,1163805509,,,,,,,,,,,,,EyesNotFound
0,0,1163805526,,,,,,,,,,,,,EyesNotFound
0,0,1163805543,,,,,,,,,,,,,EyesNotFound
0,0,1163805559,,,,,,,,,,,,,EyesNotFound
1,1,1163805576,2.81375,121.9727,33.75265,-33.19001,73.10146,686.33667,13.45171,110.33547,29.51704,27.54906,78.72768,682.85986,Fixation
1,1,1163805593,1.17224,172.57579,52.17071,-33.18911,73.01737,686.25806,7.06598,159.40262,47.37605,27.52636,78.67029,682.79767,Fixation
1,1,1163805609,2.4215,154.01897,45.41653,-33.19707,72.99187,686.25787,11.13546,148.41212,43.37585,27.51411,78.63087,682.70782,Fixation
1,1,1163805626,1.84659,157.929,46.83966,-33.20113,72.9631,686.24561,9.79202,153.14801,45.09955,27.52014,78.60371,682.74609,Fixation
1,1,1163805643,2.33763,157.73752,46.76994,-33.20245,72.94716,686.23267,10.44509,158.1499,46.92009,27.53027,78.56303,682.77045,Fixation
1,1,1163805659,3.35908,161.64833,48.19339,-33.19588,72.93324,686.22021,11.3912,160.19936,47.66605,27.53724,78.53557,682.73102,Fixation
1,1,1163805676,2.35581,160.90645,47.92339,-33.18691,72.91926,686.16992,11.26932,159.70985,47.48788,27.54537,78.51119,682.58917,Fixation
1,1,1163805693,6.35145,160.57127,47.80138,-33.18304,72.90726,686.13184,10.73446,160.3513,47.72136,27.55519,78.46465,682.30457,Fixation
1,1,1163805709,6.39793,158.70169,47.1209,-33.17542,72.89667,686.08081,8.9113,158.13795,46.91573,27.59802,78.43752,682.26257,Fixation
1,1,1163805726,6.79839,157.15086,46.55646,-33.14954,72.86606,686.00507,6.68961,155.70421,46.02991,27.64812,78.42514,682.40045,Fixation
1,1,1163805743,5.55232,156.37479,46.27395,-33.12039,72.82481,685.99243,7.47964,152.03673,44.6951,27.66524,78.39404,682.50128,Fixation
1,1,1163805759,5.84791,158.19994,46.93827,-33.10326,72.77414,685.94141,8.86663,157.54633,46.70041,27.67552,78.34455,682.51337,Fixation
1,1,1163805776,4.48062,160.8596,47.90634,-33.09924,72.75885,685.91589,8.30091,157.1432,46.55366,27.67939,78.33658,682.52698,Fixation
1,1,1163805793,4.85203,159.84113,47.53568,-33.10457,72.77106,685.95435,8.78381,155.8237,46.07343,27.67914,78.35292,682.54016,Fixation
1,1,1163805809,6.49465,156.83133,46.44012,-33.10832,72.79144,686.00684,8.06391,154.66145,45.65038,27.68125,78.38149,682.578,Fixation
1,1,1163805826,5.09547,157.42709,46.65698,-33.11106,72.81187,686.00623,8.62896,152.68571,44.93128,27.68254,78.41086,682.59113,Fixation
1,1,1163805843,5.65787,154.66568,45.65197,-33.12939,72.84571,686.07019,7.95055,155.65395,46.01167,27.67989,78.43073,682.60358,Fixation
1,1,1163805859,6.55477,156.78209,46.42227,-33.16194,72.87546,686.18555,5.62395,154.16914,45.4712,27.65805,78.4293,682.55408,Fixation
1,1,1163805876,6.44209,154.35205,45.53778,-33.18387,72.86261,686.23315,6.90798,154.26517,45.50613,27.61102,78.39488,682.4809,Fixation
1,1,1163805893,5.72344,158.93198,47.20474,-33.21041,72.75031,686.24335,9.09467,157.03378,46.51389,27.55452,78.34048,682.60175,Fixation
1,1,1163805909,-0.24758,157.04987,46.51969,-33.2851,72.66131,686.00269,3.56328,158.73703,47.13377,27.48384,78.26663,682.62012,Fixation
1,1,1163805926,3.18538,153.09515,45.08031,-33.35248,72.63986,686.08734,2.0492,157.0943,46.53587,27.43859,78.21104,682.36652,Fixation
1,1,1163805943,3.3427,154.97142,45.7632,-33.40188,72.63166,686.18475,4.31793,155.65776,46.01301,27.37112,78.17361,682.19135,Fixation
1,1,1163805959,0.69805,152.64017,44.91467,-33.42596,72.58954,686.07642,5.98075,153.88606,45.36816,27.317,78.17917,682.28577,Fixation
1,1,1163805976,1.11867,156.72919,46.40297,-33.46019,72.54024,686.08606,5.77474,155.11934,45.81708,27.2874,78.20969,682.49524,Fixation
1,1,1163805993,-0.4367,157.80231,46.7936,-33.49719,72.50423,685.99219,5.54646,152.15224,44.73714,27.26704,78.22752,682.6123,Fixation
1,1,1163806009,1.09245,158.39148,47.00801,-33.53867,72.50316,685.86823,3.27246,157.15169,46.55677,27.25028,78.23598,682.62659,Fixation
1,1,1163806026,2.95304,157.2869,46.60595,-33.56926,72.51165,685.87848,2.88662,156.24551,46.22694,27.22267,78.2085,682.40997,Fixation
1,1,1163806043,3.17745,158.18311,46.93216,-33.58614,72.48584,685.88953,3.0598,153.19408,45.11631,27.202,78.18048,682.25702,Fixation
1,1,1163806059,6.10079,159.60031,47.44799,-33.59953,72.44193,685.85114,3.21731,153.61758,45.27045,27.19308,78.1403,682.20642,Fixation
