device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
5468678272,628376823343,"(0.5475617051124573, 0.5347900390625)","(26.396724700927734, 144.59280395507812, 41.98569107055664)",1,3.5706024169921875,1,"(-4.437308311462402, 56.76615905761719, 654.669677734375)",1,"(0.5787571668624878, 0.565696120262146)","(43.710182189941406, 135.5261688232422, 38.685699462890625)",1,3.4079132080078125,1,"(55.84142303466797, 55.945953369140625, 656.508544921875)",1,1742470167233,10.077041625976562,9.558929443359375
5468694939,628376840011,"(0.5474709868431091, 0.5491700768470764)","(26.346393585205078, 140.37425231933594, 40.45029067993164)",1,3.5943603515625,1,"(-4.548663139343262, 56.74819564819336, 654.5499267578125)",1,"(0.5740683674812317, 0.5676256418228149)","(41.107887268066406, 134.96011352539062, 38.47971725463867)",1,3.44268798828125,1,"(55.87254333496094, 55.88262939453125, 656.44287109375)",1,1742470167248,10.470382690429688,9.82666015625
5468711605,628376856678,"(0.5520501136779785, 0.5308321714401245)","(28.887788772583008, 145.75384521484375, 42.40830612182617)",1,3.565948486328125,1,"(-4.670525074005127, 56.69446563720703, 654.8316650390625)",1,"(0.5724920630455017, 0.5617608428001404)","(40.23306655883789, 136.68063354492188, 39.105899810791016)",1,3.4147796630859375,1,"(55.8356819152832, 55.80340576171875, 656.3167114257812)",1,1742470167266,10.521591186523438,10.138519287109375
5468728272,628376873341,"(0.5520777106285095, 0.5359503030776978)","(28.903125762939453, 144.25241088867188, 41.861812591552734)",1,3.531951904296875,1,"(-4.759047985076904, 56.6079216003418, 654.391845703125)",1,"(0.5760737657546997, 0.5599886775016785)","(42.220916748046875, 137.20053100585938, 39.295127868652344)",1,3.4169158935546875,1,"(55.74917221069336, 55.732051849365234, 656.12744140625)",1,1742470167283,10.989425659179688,10.247421264648438
5468744939,628376890001,"(0.5521773099899292, 0.5316162705421448)","(28.9583683013916, 145.52386474609375, 42.32460021972656)",1,3.5676116943359375,1,"(-4.886963844299316, 56.54720687866211, 654.8404541015625)",1,"(0.5730322003364563, 0.554056704044342)","(40.532840728759766, 138.9407196044922, 39.92850112915039)",1,3.4049835205078125,1,"(55.6789665222168, 55.659568786621094, 656.0670166015625)",1,1742470167298,11.062042236328125,10.726730346679688
5468761605,628376906661,"(0.5522779822349548, 0.5290976166725159)","(29.014253616333008, 146.2627410888672, 42.59348678588867)",1,3.51617431640625,1,"(-5.030851364135742, 56.48741149902344, 654.9788818359375)",1,"(0.5728316903114319, 0.5523620843887329)","(40.42155075073242, 139.4378662109375, 40.109432220458984)",1,3.41021728515625,1,"(55.61207962036133, 55.652339935302734, 656.4879150390625)",1,1742470167315,11.344345092773438,10.709243774414062
5468778272,628376923327,"(0.5496079921722412, 0.5422027707099915)","(27.53241729736328, 142.41818237304688, 41.19419860839844)",1,3.5298004150390625,1,"(-5.164767742156982, 56.424137115478516, 654.703857421875)",1,"(0.5700076818466187, 0.5594338774681091)","(38.8542366027832, 137.36326599121094, 39.35439682006836)",1,3.394195556640625,1,"(55.462379455566406, 55.597450256347656, 656.1031494140625)",1,1742470167332,11.260604858398438,10.79510498046875
5468794939,628376939995,"(0.5492468476295471, 0.5445353388786316)","(27.33196258544922, 141.73391723632812, 40.94514465332031)",1,3.5604248046875,1,"(-5.323139667510986, 56.44090270996094, 655.0560302734375)",1,"(0.575783908367157, 0.5565497279167175)","(42.060054779052734, 138.20936584472656, 39.6623420715332)",1,3.414886474609375,1,"(55.35121154785156, 55.62363052368164, 656.3163452148438)",1,1742470167348,11.488784790039062,10.8056640625
5468811605,628376956662,"(0.5511671304702759, 0.54560786485672)","(28.397720336914062, 141.41929626464844, 40.830631256103516)",1,3.55157470703125,1,"(-5.485518932342529, 56.482383728027344, 655.2081298828125)",1,"(0.5768596529960632, 0.5539368987083435)","(42.65705871582031, 138.9758758544922, 39.941253662109375)",1,3.3620452880859375,1,"(55.23223114013672, 55.671905517578125, 656.192626953125)",1,1742470167366,11.532913208007812,10.896041870117188
5468828274,628376973332,"(0.5461098551750183, 0.5287019610404968)","(25.5909481048584, 146.37879943847656, 42.635738372802734)",1,3.4919891357421875,1,"(-5.587162017822266, 56.470375061035156, 654.81494140625)",1,"(0.5774723887443542, 0.5625079870223999)","(42.99716567993164, 136.46144104003906, 39.026100158691406)",1,3.3855438232421875,1,"(55.120845794677734, 55.77614212036133, 656.236083984375)",1,1742470167384,11.589218139648438,11.059219360351562
