device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
2132893618,497040363104,"(0.40854567289352417, 0.593346118927002)","(-50.75716018676758, 127.41476440429688, 35.7334098815918)",1,2.7199249267578125,1,"(-40.64543151855469, 59.475460052490234, 672.620849609375)",1,"(0.41131138801574707, 0.5953502058982849)","(-49.222190856933594, 126.82682800292969, 35.519447326660156)",1,2.6305694580078125,1,"(20.02719497680664, 62.763145446777344, 673.239501953125)",1,1742986638902,12.237197875976562,10.837554931640625
2132910285,497040379754,"(0.40445446968078613, 0.5855287909507751)","(-53.027801513671875, 129.7080841064453, 36.5681037902832)",1,2.7013397216796875,1,"(-40.653202056884766, 59.46952819824219, 672.5948486328125)",1,"(0.4077666103839874, 0.5949596762657166)","(-51.18955612182617, 126.94143676757812, 35.56108856201172)",1,2.616302490234375,1,"(20.064119338989258, 62.778690338134766, 673.45068359375)",1,1742986638920,10.778335571289062,10.95538330078125
2132926952,497040396411,"(0.40949568152427673, 0.5922424793243408)","(-50.22990417480469, 127.738525390625, 35.85124588012695)",1,2.6953125,1,"(-40.657066345214844, 59.45355987548828, 672.5311279296875)",1,"(0.4124682545661926, 0.5978334546089172)","(-48.58013916015625, 126.09835052490234, 35.25430679321289)",1,2.62225341796875,1,"(20.09653091430664, 62.77217102050781, 673.548583984375)",1,1742986638936,11.855880737304688,10.947250366210938
2132943619,497040413078,"(0.4060952067375183, 0.5981773138046265)","(-52.11716842651367, 125.99746704101562, 35.21757507324219)",1,2.7252960205078125,1,"(-40.656959533691406, 59.43952941894531, 672.481201171875)",1,"(0.4133037328720093, 0.5906611084938049)","(-48.116455078125, 128.20245361328125, 36.020084381103516)",1,2.6211395263671875,1,"(20.122085571289062, 62.73497772216797, 673.3839111328125)",1,1742986638953,12.001251220703125,11.077667236328125
2132960285,497040429743,"(0.40779614448547363, 0.5918671488761902)","(-51.17316818237305, 127.84864044189453, 35.89136505126953)",1,2.713531494140625,1,"(-40.654212951660156, 59.42579650878906, 672.4451293945312)",1,"(0.41022413969039917, 0.5793760418891907)","(-49.82563400268555, 131.51304626464844, 37.225032806396484)",1,2.6146240234375,1,"(20.14557647705078, 62.70221710205078, 673.2574462890625)",1,1742986638968,12.645111083984375,11.215927124023438
2132976952,497040446410,"(0.4081927239894867, 0.5816015005111694)","(-50.95307159423828, 130.86016845703125, 36.9874382019043)",1,2.675262451171875,1,"(-40.6499137878418, 59.40739059448242, 672.384033203125)",1,"(0.41138342022895813, 0.59371018409729)","(-49.182220458984375, 127.3079833984375, 35.69453048706055)",1,2.6618499755859375,1,"(20.17198944091797, 62.684844970703125, 673.355712890625)",1,1742986638987,11.456619262695312,11.115753173828125
2132993618,497040463069,"(0.40728747844696045, 0.5938882827758789)","(-51.4554557800293, 127.25570678710938, 35.6755485534668)",1,2.722137451171875,1,"(-40.643348693847656, 59.39236068725586, 672.3734130859375)",1,"(0.41046053171157837, 0.5905849933624268)","(-49.69443893432617, 128.22476196289062, 36.02825927734375)",1,2.6686859130859375,1,"(20.193044662475586, 62.66948699951172, 673.4547119140625)",1,1742986639003,11.91717529296875,11.370635986328125
2133010286,497040479728,"(0.40981537103652954, 0.5894362926483154)","(-50.05250549316406, 128.561767578125, 36.15090560913086)",1,2.7034149169921875,1,"(-40.63953399658203, 59.392059326171875, 672.3988647460938)",1,"(0.40982067584991455, 0.591179609298706)","(-50.04954147338867, 128.05035400390625, 35.96475601196289)",1,2.6705474853515625,1,"(20.209692001342773, 62.65508270263672, 673.40380859375)",1,1742986639019,12.108749389648438,11.3927001953125
2133026953,497040496385,"(0.4138764441013336, 0.5951088666915894)","(-47.79860305786133, 126.89763641357422, 35.54521179199219)",1,2.725616455078125,1,"(-40.632957458496094, 59.40327453613281, 672.38671875)",1,"(0.4073597490787506, 0.5848408341407776)","(-51.41535568237305, 129.90988159179688, 36.64154815673828)",1,2.6926422119140625,1,"(20.22437858581543, 62.66120147705078, 673.3897705078125)",1,1742986639037,11.140579223632812,11.2608642578125
2133043619,497040513048,"(0.4138231575489044, 0.5371896028518677)","(-47.82816696166992, 143.8888702392578, 41.7294807434082)",1,2.6860809326171875,1,"(-40.5672492980957, 59.50154495239258, 672.4323120117188)",1,"(0.4180655777454376, 0.5585910081863403)","(-45.47364044189453, 137.61053466796875, 39.44435119628906)",1,2.668975830078125,1,"(20.224334716796875, 62.76176452636719, 673.0643310546875)",1,1742986639053,12.15631103515625,11.20404052734375
2133060286,497040529714,"(0.42476528882980347, 0.4930044412612915)","(-41.755279541015625, 156.85101318359375, 46.44732666015625)",1,2.7174835205078125,1,"(-40.4223518371582, 59.794063568115234, 672.6038818359375)",1,"(0.428030401468277, 0.48707693815231323)","(-39.943145751953125, 158.58993530273438, 47.08021926879883)",1,2.68756103515625,1,"(20.249135971069336, 63.01527404785156, 673.2007446289062)",1,1742986639069,11.30169677734375,11.015304565429688
2133076952,497040546379,"(0.42741841077804565, 0.4932088255882263)","(-40.282806396484375, 156.7910614013672, 46.42551803588867)",1,2.7277069091796875,1,"(-40.39892578125, 59.88441848754883, 672.5917358398438)",1,"(0.43104711174964905, 0.4869452118873596)","(-38.26887130737305, 158.62857055664062, 47.094295501708984)",1,2.681732177734375,1,"(20.27541160583496, 63.10041809082031, 673.3995361328125)",1,1742986639086,11.769683837890625,11.037017822265625
2133093620,497040563049,"(0.42801064252853394, 0.49466216564178467)","(-39.95412063598633, 156.36473083496094, 46.270320892333984)",1,2.729278564453125,1,"(-40.41993713378906, 59.882511138916016, 672.576416015625)",1,"(0.43372395634651184, 0.4846871793270111)","(-36.78322219848633, 159.2909698486328, 47.33540725708008)",1,2.66912841796875,1,"(20.294570922851562, 63.08633041381836, 673.2978515625)",1,1742986639103,11.46356201171875,11.002777099609375
2133110286,497040579723,"(0.42811551690101624, 0.4930070638656616)","(-39.89590072631836, 156.85025024414062, 46.4470329284668)",1,2.746307373046875,1,"(-40.421051025390625, 59.88282775878906, 672.5510864257812)",1,"(0.4346744120121002, 0.49480023980140686)","(-36.25572204589844, 156.32421875, 46.255577087402344)",1,2.701141357421875,1,"(20.314586639404297, 63.084999084472656, 673.27197265625)",1,1742986639118,11.73406982421875,11.47314453125
2133126953,497040596398,"(0.429993212223053, 0.493678480386734)","(-38.853797912597656, 156.65328979492188, 46.3753547668457)",1,2.71124267578125,1,"(-40.42793655395508, 59.87378692626953, 672.5640258789062)",1,"(0.4333033859729767, 0.4889284074306488)","(-37.016639709472656, 158.04676818847656, 46.88256072998047)",1,2.656646728515625,1,"(20.336936950683594, 63.09302520751953, 673.4337768554688)",1,1742986639135,11.535385131835938,11.152420043945312
2133143623,497040613073,"(0.4283435642719269, 0.4870411455631256)","(-39.769344329833984, 158.6004180908203, 47.08408737182617)",1,2.717742919921875,1,"(-40.43000793457031, 59.863059997558594, 672.5009765625)",1,"(0.43210527300834656, 0.4834710657596588)","(-37.681602478027344, 159.6477508544922, 47.46522903442383)",1,2.6544952392578125,1,"(20.357711791992188, 63.09336853027344, 673.5452880859375)",1,1742986639152,11.91802978515625,11.103546142578125
2133160289,497040629739,"(0.42630505561828613, 0.4863376021385193)","(-40.90070724487305, 158.80682373046875, 47.1591796875)",1,2.7293243408203125,1,"(-40.4368896484375, 59.88055419921875, 672.5494384765625)",1,"(0.43209025263786316, 0.4863565266132355)","(-37.689937591552734, 158.80126953125, 47.15715408325195)",1,2.6748046875,1,"(20.37759780883789, 63.09833908081055, 673.5687255859375)",1,1742986639168,11.228988647460938,11.425384521484375
2133176955,497040646404,"(0.4296046495437622, 0.48530420660972595)","(-39.06945037841797, 159.10997009277344, 47.269535064697266)",1,2.741455078125,1,"(-40.4324951171875, 59.89817810058594, 672.5352172851562)",1,"(0.4320368468761444, 0.48620733618736267)","(-37.719581604003906, 158.84503173828125, 47.17306900024414)",1,2.670562744140625,1,"(20.398014068603516, 63.125335693359375, 673.52978515625)",1,1742986639186,11.775665283203125,11.206390380859375
2133193623,497040663072,"(0.42860326170921326, 0.47630542516708374)","(-39.625213623046875, 161.74984741210938, 48.2303581237793)",1,2.704833984375,1,"(-40.41594696044922, 59.902503967285156, 672.461181640625)",1,"(0.4335392415523529, 0.4915856719017029)","(-36.885738372802734, 157.26724243164062, 46.59881591796875)",1,2.6903533935546875,1,"(20.411691665649414, 63.14415740966797, 673.316162109375)",1,1742986639203,12.00146484375,11.093948364257812
2133210289,497040679737,"(0.4321622848510742, 0.4775448441505432)","(-37.649959564208984, 161.38629150390625, 48.0980110168457)",1,2.7288360595703125,1,"(-40.395774841308594, 59.90089416503906, 672.3889770507812)",1,"(0.4309006929397583, 0.4972156286239624)","(-38.35013961791992, 155.61563110351562, 45.9976806640625)",1,2.6956634521484375,1,"(20.43618392944336, 63.15278625488281, 673.326904296875)",1,1742986639219,11.720733642578125,11.27008056640625
2133226955,497040696406,"(0.4296351671218872, 0.47910332679748535)","(-39.05250549316406, 160.9290771484375, 47.93159103393555)",1,2.7371978759765625,1,"(-40.36836624145508, 59.890541076660156, 672.3296508789062)",1,"(0.43215614557266235, 0.49328795075416565)","(-37.65334701538086, 156.76783752441406, 46.417091369628906)",1,2.7208251953125,1,"(20.469520568847656, 63.136436462402344, 673.425048828125)",1,1742986639236,11.686874389648438,11.191909790039062
2133243622,497040713074,"(0.4320656657218933, 0.4817727208137512)","(-37.70358657836914, 160.14598083496094, 47.646583557128906)",1,2.723052978515625,1,"(-40.34968185424805, 59.89625930786133, 672.4573974609375)",1,"(0.4350966215133667, 0.4887053072452545)","(-36.02138900756836, 158.11221313476562, 46.906375885009766)",1,2.6981964111328125,1,"(20.486351013183594, 63.060691833496094, 673.1358642578125)",1,1742986639253,11.933242797851562,11.251571655273438
2133260290,497040729745,"(0.43131375312805176, 0.48269519209861755)","(-38.12089538574219, 159.87535095214844, 47.548099517822266)",1,2.7361297607421875,1,"(-40.32469940185547, 59.881927490234375, 672.4363403320312)",1,"(0.4353807866573334, 0.48374059796333313)","(-35.863670349121094, 159.5686798095703, 47.43644332885742)",1,2.658233642578125,1,"(20.511272430419922, 63.020179748535156, 673.1473388671875)",1,1742986639268,11.266494750976562,11.20166015625
2133276956,497040746412,"(0.4305412471294403, 0.4919087290763855)","(-38.54960632324219, 157.17245483398438, 46.56431579589844)",1,2.7480010986328125,1,"(-40.30213928222656, 59.88621520996094, 672.5277099609375)",1,"(0.43372446298599243, 0.4834696650505066)","(-36.782958984375, 159.6481475830078, 47.465423583984375)",1,2.68212890625,1,"(20.558223724365234, 63.043312072753906, 673.52001953125)",1,1742986639285,11.436187744140625,11.12518310546875
2133293623,497040763081,"(0.42919421195983887, 0.4927079379558563)","(-39.2972412109375, 156.9380340576172, 46.47903060913086)",1,2.7535247802734375,1,"(-40.27603530883789, 59.893978118896484, 672.5435791015625)",1,"(0.43355756998062134, 0.48434966802597046)","(-36.875587463378906, 159.3900146484375, 47.371429443359375)",1,2.676544189453125,1,"(20.598957061767578, 63.05166244506836, 673.642822265625)",1,1742986639302,11.646835327148438,10.955612182617188
2133310290,497040779750,"(0.42921963334083557, 0.48128455877304077)","(-39.28311538696289, 160.2891845703125, 47.698707580566406)",1,2.7238006591796875,1,"(-40.25778579711914, 59.91753005981445, 672.64599609375)",1,"(0.42865052819252014, 0.48282307386398315)","(-39.5989875793457, 159.83782958984375, 47.5344352722168)",1,2.710052490234375,1,"(20.631855010986328, 63.07451629638672, 673.6785888671875)",1,1742986639318,11.816421508789062,11.323348999023438
2133326956,497040796416,"(0.4292697012424469, 0.4766864478588104)","(-39.25535583496094, 161.63809204101562, 48.189659118652344)",1,2.7247467041015625,1,"(-40.222572326660156, 59.92109298706055, 672.5125122070312)",1,"(0.4317624866962433, 0.4806137979030609)","(-37.871829986572266, 160.48594665527344, 47.77033996582031)",1,2.687408447265625,1,"(20.659698486328125, 63.0936279296875, 673.5514526367188)",1,1742986639335,12.015396118164062,11.287368774414062
