device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,left_eye_openness_value,right_eye_openness_value
3760437894,1335823611674,"(0.6141911149024963, 0.9540172219276428)","(63.37602615356445, 21.608203887939453, -2.7770631313323975)",1,3.009796142578125,1,"(-25.894197463989258, 74.11749267578125, 693.6551513671875)",1,"(0.5988178253173828, 0.9658954739570618)","(54.84387969970703, 18.12358856201172, -4.045296669006348)",1,2.92071533203125,1,"(34.88850021362305, 77.74348449707031, 693.057373046875)",1,10.252853393554688,9.877517700195312
3760454561,1335823628349,"(0.6155295372009277, 0.9480370879173279)","(64.11888122558594, 23.36250877380371, -2.1384947299957275)",1,2.979034423828125,1,"(-25.84366798400879, 74.0994644165039, 693.8472290039062)",1,"(0.6024627089500427, 0.9596593379974365)","(56.866790771484375, 19.95301628112793, -3.3794848918914795)",1,2.9046783447265625,1,"(34.971473693847656, 77.67813110351562, 692.756591796875)",1,10.432525634765625,9.362457275390625
3760471228,1335823645025,"(0.6150357127189636, 0.947685956954956)","(63.844818115234375, 23.46553611755371, -2.101029872894287)",1,3.00323486328125,1,"(-25.816226959228516, 74.10628509521484, 693.9024658203125)",1,"(0.5988178253173828, 0.9654083251953125)","(54.843875885009766, 18.266504287719727, -3.993332624435425)",1,2.9315032958984375,1,"(34.989173889160156, 77.59341430664062, 692.141357421875)",1,10.515960693359375,9.945632934570312
3760487894,1335823661700,"(0.6195885539054871, 0.9523584842681885)","(66.37162780761719, 22.094799041748047, -2.599921941757202)",1,2.99053955078125,1,"(-25.773414611816406, 74.1115493774414, 693.799072265625)",1,"(0.6012375950813293, 0.9781581163406372)","(56.18684768676758, 14.526206016540527, -5.3546671867370605)",1,2.9252471923828125,1,"(35.09797668457031, 77.6863784790039, 692.916748046875)",1,10.6531982421875,9.849319458007812
3760504561,1335823678367,"(0.6175678372383118, 0.9514220952987671)","(65.25011444091797, 22.369503021240234, -2.4999096393585205)",1,3.0233001708984375,1,"(-25.71764373779297, 74.11312866210938, 693.7901611328125)",1,"(0.6013463735580444, 0.9624966979026794)","(56.2471923828125, 19.12066650390625, -3.6824324131011963)",1,2.958343505859375,1,"(35.183387756347656, 77.75800323486328, 693.5599365234375)",1,10.668533325195312,9.823074340820312
3760521228,1335823695035,"(0.6156999468803406, 0.9600229263305664)","(64.21344757080078, 19.846364974975586, -3.418259859085083)",1,2.9981536865234375,1,"(-25.680238723754883, 74.1466293334961, 693.9669189453125)",1,"(0.6055718660354614, 0.9663587808609009)","(58.59233856201172, 17.987674713134766, -4.094799518585205)",1,2.9119720458984375,1,"(35.20328903198242, 77.74476623535156, 693.4508056640625)",1,10.560379028320312,10.015716552734375
3760537894,1335823711702,"(0.6172794103622437, 0.9584910869598389)","(65.09002685546875, 20.295740127563477, -3.254732131958008)",1,3.04949951171875,1,"(-25.668720245361328, 74.194580078125, 694.1273803710938)",1,"(0.60699462890625, 0.9665745496749878)","(59.382015228271484, 17.924386978149414, -4.11785364151001)",1,2.970703125,1,"(35.20600891113281, 77.7230453491211, 693.2234497070312)",1,10.994338989257812,9.930374145507812
3760554565,1335823728374,"(0.6174519062042236, 0.9594866633415222)","(65.18577575683594, 20.003671646118164, -3.3610308170318604)",1,3.0125579833984375,1,"(-25.659582138061523, 74.23133850097656, 694.20751953125)",1,"(0.5992918014526367, 0.9593446254730225)","(55.10689163208008, 20.04534912109375, -3.345846652984619)",1,2.9603729248046875,1,"(35.21009063720703, 77.7191390991211, 693.1697998046875)",1,10.732162475585938,10.062881469726562
3760571232,1335823745043,"(0.6158512234687805, 0.9622595906257629)","(64.2973861694336, 19.190221786499023, -3.6571059226989746)",1,3.0252532958984375,1,"(-25.652530670166016, 74.26420593261719, 694.2344970703125)",1,"(0.604019820690155, 0.9669245481491089)","(57.73099136352539, 17.82170295715332, -4.15523099899292)",1,2.9852294921875,1,"(35.21693420410156, 77.7387924194336, 693.2236328125)",1,10.768234252929688,10.052490234375
3760587898,1335823761711,"(0.610439121723175, 0.9607260823249817)","(61.29368209838867, 19.640071868896484, -3.4933905601501465)",1,3.0359344482421875,1,"(-25.647367477416992, 74.26396179199219, 694.1283569335938)",1,"(0.5996391773223877, 0.9617226123809814)","(55.29973220825195, 19.34773826599121, -3.5997819900512695)",1,2.986724853515625,1,"(35.219383239746094, 77.76868438720703, 693.2621459960938)",1,10.634048461914062,9.954727172851562
3760604565,1335823778381,"(0.611052930355072, 0.967069685459137)","(61.63434982299805, 17.779125213623047, -4.170708656311035)",1,3.042633056640625,1,"(-25.645978927612305, 74.26231384277344, 694.1285400390625)",1,"(0.6015862226486206, 0.9743839502334595)","(56.380306243896484, 15.633413314819336, -4.951676368713379)",1,2.97222900390625,1,"(35.223365783691406, 77.79312133789062, 693.4484252929688)",1,10.520355224609375,10.134231567382812
3760621232,1335823795049,"(0.6143070459365845, 0.9691489338874817)","(63.440372467041016, 17.169153213500977, -4.392728328704834)",1,3.0571136474609375,1,"(-25.63176155090332, 74.26127624511719, 694.0755615234375)",1,"(0.6031812429428101, 0.9779836535453796)","(57.26557540893555, 14.577390670776367, -5.336000919342041)",1,3.00189208984375,1,"(35.22071075439453, 77.7849349975586, 693.3953857421875)",1,10.693710327148438,9.924957275390625
3760637898,1335823811716,"(0.6121142506599426, 0.9755074381828308)","(62.223358154296875, 15.30384635925293, -5.071633815765381)",1,3.0484466552734375,1,"(-25.636856079101562, 74.26821899414062, 694.1956787109375)",1,"(0.6004847288131714, 0.9725906252861023)","(55.76897048950195, 16.159513473510742, -4.760212421417236)",1,2.9799652099609375,1,"(35.23029327392578, 77.7486572265625, 693.247802734375)",1,10.478240966796875,9.930191040039062
3760654565,1335823828383,"(0.6134296655654907, 0.9813195466995239)","(62.95344924926758, 13.598776817321777, -5.692201614379883)",1,3.0456695556640625,1,"(-25.627094268798828, 74.26785278320312, 694.2217407226562)",1,"(0.6037557721138, 0.965414822101593)","(57.58441162109375, 18.26457977294922, -3.9939961433410645)",1,2.972320556640625,1,"(35.2330322265625, 77.68157958984375, 692.8472900390625)",1,10.518173217773438,9.902740478515625
3760671231,1335823845049,"(0.6160706281661987, 0.9873837828636169)","(64.41912841796875, 11.81976318359375, -6.339730262756348)",1,3.0658416748046875,1,"(-25.618324279785156, 74.25814819335938, 694.1829223632812)",1,"(0.6028730869293213, 0.9815499782562256)","(57.09455108642578, 13.531188011169434, -5.716855049133301)",1,2.9794464111328125,1,"(35.26433563232422, 77.66299438476562, 692.81787109375)",1,10.544937133789062,10.060958862304688
3760687897,1335823861716,"(0.6143577694892883, 0.983993411064148)","(63.46852493286133, 12.81438159942627, -5.97772216796875)",1,3.0770263671875,1,"(-25.60855484008789, 74.24588012695312, 694.1173095703125)",1,"(0.5978555679321289, 0.9907246232032776)","(54.309818267822266, 10.839692115783691, -6.6964640617370605)",1,3.014678955078125,1,"(35.31480407714844, 77.68851470947266, 693.1312255859375)",1,10.559967041015625,9.897918701171875
